This file was generated by Console at 2015:05:16-14:03:49



[2015:05:16-14:03:49]  (Global) -> AdminMedallo: hey
[2015:05:16-14:13:10]  (Global) -> Daniel: lel
[2015:05:16-14:13:18]  (Global) -> Daniel: Madex
[2015:05:16-14:13:22]  (Global) -> Daniel: In the stunter job
[2015:05:16-14:13:34]  (Global) -> Daniel: Why more of 30 seconds its bug abuse? xD
[2015:05:16-14:13:58]  (Global) -> [NG]xXMADEXx: because you can stop the bike in a wheelie and it can just stay there for hours lol
[2015:05:16-14:14:05]  (Global) -> [NG]xXMADEXx: Its only 30 secs though? :o
[2015:05:16-14:14:10]  (Global) -> [NG]xXMADEXx: dont know why I put it so low
[2015:05:16-14:14:19]  (Global) -> Daniel: How can i bug it?
[2015:05:16-14:14:20]  (Global) -> Daniel: xD
[2015:05:16-14:14:38]  (Global) -> Daniel: join?
[2015:05:16-14:14:44]  (Global) -> [NG]xXMADEXx: ye
[2015:05:16-14:15:12]  (Global) -> Daniel: Guer ar yu
[2015:05:16-14:15:20]  (Global) -> Daniel: Kill you?
[2015:05:16-14:15:22]  (Global) -> [NG]xXMADEXx: ye
[2015:05:16-14:15:59]  (Global) -> [NG]xXMADEXx: ight
[2015:05:16-14:16:00]  (Global) -> [NG]xXMADEXx: sec
[2015:05:16-14:16:02]  (Global) -> Daniel: Fixed?
[2015:05:16-14:16:06]  (Global) -> [NG]xXMADEXx: well kinda
[2015:05:16-14:16:09]  (Global) -> [NG]xXMADEXx: there's some error
[2015:05:16-14:16:09]  (Global) -> Daniel: xD
[2015:05:16-14:16:14]  (Global) -> [NG]xXMADEXx: one of the events isn't being removed
[2015:05:16-14:16:44]  (Global) -> Daniel: lel
[2015:05:16-14:17:17]  (Global) -> Daniel: Lets bug abuse this shit
[2015:05:16-14:17:37]  (Global) -> Daniel: How 2 bug? 
[2015:05:16-14:17:43]  (Global) -> [NG]xXMADEXx: eh its kinda tricky
[2015:05:16-14:17:46]  (Global) -> [NG]xXMADEXx: like that lol
[2015:05:16-14:18:00]  (Global) -> Daniel: lol
[2015:05:16-14:18:05]  (Global) -> Daniel: fuck
[2015:05:16-14:19:30]  (Global) -> Daniel: how much
[2015:05:16-14:19:36]  (Global) -> Daniel: time
[2015:05:16-14:19:41]  (Global) -> [NG]xXMADEXx: ?
[2015:05:16-14:19:45]  (Global) -> Daniel: or bug abuse
[2015:05:16-14:19:47]  (Global) -> Daniel: for
[2015:05:16-14:19:54]  (Global) -> [NG]xXMADEXx: still 30 i think
[2015:05:16-14:19:58]  (Global) -> Daniel: no
[2015:05:16-14:20:04]  (Global) -> Daniel: i do 39 seconds
[2015:05:16-14:20:20]  (Global) -> [NG]xXMADEXx: 40 secs
[2015:05:16-14:20:57]  (Global) -> Daniel: lol
[2015:05:16-14:21:19]  (Global) -> Daniel: Madex
[2015:05:16-14:21:22]  (Global) -> Daniel: in some thimes
[2015:05:16-14:21:24]  (Global) -> Daniel: times
[2015:05:16-14:21:30]  (Global) -> Daniel: sometimes
[2015:05:16-14:21:39]  (Global) -> Daniel: you loose al your weapons
[2015:05:16-14:22:01]  (Global) -> [NG]xXMADEXx: what triggers loss of weapons?
[2015:05:16-14:22:06]  (Global) -> [NG]xXMADEXx: like what do you have to do
[2015:05:16-14:22:17]  (Global) -> Daniel: Reconnect
[2015:05:16-14:22:40]  (Global) -> Daniel: No
[2015:05:16-14:22:44]  (Global) -> Daniel: When you reconnect
[2015:05:16-14:24:34]  (Global) -> Daniel: Bro
[2015:05:16-14:24:37]  (Global) -> [NG]xXMADEXx: ?
[2015:05:16-14:24:42]  (Global) -> Daniel: In the usa its normal to use whatsapp?
[2015:05:16-14:24:51]  (Global) -> [NG]xXMADEXx: eh i dont know anyone that uses it
[2015:05:16-14:24:57]  (Global) -> [NG]xXMADEXx: everyone just texts
[2015:05:16-14:25:00]  (Global) -> Daniel: Oh
[2015:05:16-14:25:02]  (Global) -> Daniel: hahaha
[2015:05:16-14:25:13]  (Global) -> Daniel: i sai it because here in colombia
[2015:05:16-14:25:22]  (Global) -> Daniel: We use it
[2015:05:16-14:25:33]  (Global) -> Daniel: So, if you want i can make in the phone the logo of whpp
[2015:05:16-14:25:53]  (Global) -> [NG]xXMADEXx: eh you can do that on your server
[2015:05:16-14:25:59]  (Global) -> Daniel: Yeah
[2015:05:16-14:26:03]  (Global) -> Daniel: yes
[2015:05:16-14:26:10]  (Global) -> [NG]xXMADEXx: alright, i needa fix group inventations :3
[2015:05:16-14:26:24]  (Global) -> Daniel: Need help in something?
[2015:05:16-14:26:25]  (Global) -> Daniel: :D
[2015:05:16-14:29:04]  (Global) -> Daniel: No invites for me
[2015:05:16-14:29:22]  (Global) -> [NG]xXMADEXx: lol did you get 2 notifications for it?
[2015:05:16-14:29:25]  (Global) -> Daniel: Yes
[2015:05:16-14:31:23]  (Global) -> Daniel: Whats are that numbers bro?
[2015:05:16-14:31:37]  (Global) -> [NG]xXMADEXx: just some stuff from my computer RAM
[2015:05:16-14:31:42]  (Global) -> [NG]xXMADEXx: Where the table is stored
[2015:05:16-14:31:48]  (Global) -> Daniel: Oh
[2015:05:16-14:32:22]  (Global) -> Daniel: No invites
[2015:05:16-14:32:33]  (Global) -> Daniel: Just 1 notification
[2015:05:16-14:32:38]  (Global) -> [NG]xXMADEXx: alright, i think the server-code is fine
[2015:05:16-14:32:42]  (Global) -> Daniel: No invites from me
[2015:05:16-14:32:43]  (Global) -> [NG]xXMADEXx: need to script it into the interface though
[2015:05:16-14:35:12]  (Global) -> [NG]xXMADEXx: anything?
[2015:05:16-14:35:33]  (Global) -> Daniel: hey
[2015:05:16-14:35:36]  (Global) -> [NG]xXMADEXx: check your invites
[2015:05:16-14:35:39]  (Global) -> Daniel: No inv
[2015:05:16-14:35:43]  (Global) -> [NG]xXMADEXx: eh
[2015:05:16-14:35:44]  (Global) -> [NG]xXMADEXx: make a group
[2015:05:16-14:35:46]  (Global) -> [NG]xXMADEXx: and invite me
[2015:05:16-14:36:06]  (Global) -> Daniel: Doesnt load
[2015:05:16-14:36:13]  (Global) -> Daniel: 2 loading interface, please wait
[2015:05:16-14:36:20]  (Global) -> [NG]xXMADEXx: .__.
[2015:05:16-14:36:29]  (Global) -> Daniel: But i cant administrate my group
[2015:05:16-14:36:50]  (Global) -> [NG]xXMADEXx: ah, it didnt add you to the group?
[2015:05:16-14:36:57]  (Global) -> [NG]xXMADEXx: oh
[2015:05:16-14:36:57]  (Global) -> Daniel: No
[2015:05:16-14:36:59]  (Global) -> [NG]xXMADEXx: try now
[2015:05:16-14:37:26]  (Global) -> Daniel: 2 loading interface, please wait....
[2015:05:16-14:37:31]  (Global) -> [NG]xXMADEXx: wtf
[2015:05:16-14:37:35]  (Global) -> Daniel: But u cant addministrate my group
[2015:05:16-14:37:42]  (Global) -> Daniel: see the grouplist
[2015:05:16-14:38:10]  (Global) -> [NG]xXMADEXx: What type of group did you select?
[2015:05:16-14:38:14]  (Global) -> Daniel: gang
[2015:05:16-14:38:24]  (Global) -> [NG]xXMADEXx: weird
[2015:05:16-14:38:26]  (Global) -> [NG]xXMADEXx: works fine for me
[2015:05:16-14:38:34]  (Global) -> Daniel: See the group list
[2015:05:16-14:39:03]  (Global) -> Daniel: Doesnt work
[2015:05:16-14:39:07]  (Global) -> Daniel: For groups
[2015:05:16-14:43:42]  (Global) -> [NG]xXMADEXx: try to open the group panel
[2015:05:16-14:43:56]  (Global) -> Daniel: 2 loading interface notifications
[2015:05:16-14:44:06]  (Global) -> Daniel: But i cant administrate my groups
[2015:05:16-14:44:20]  (Global) -> [NG]xXMADEXx: Does it say you're in a group on the Information page?
[2015:05:16-14:44:32]  (Global) -> Daniel: Your group: none
[2015:05:16-14:44:38]  (Global) -> Daniel: Your rank: none
[2015:05:16-14:44:51]  (Global) -> Daniel: See the group list
[2015:05:16-14:46:38]  (Global) -> [NG]xXMADEXx: create one now?
[2015:05:16-14:47:04]  (Global) -> Daniel: Nope
[2015:05:16-14:47:11]  (Global) -> Daniel: 2 loading interfae
[2015:05:16-14:47:25]  (Global) -> Daniel: Did you remember the screenshots what i send to you?
[2015:05:16-14:47:29]  (Global) -> [NG]xXMADEXx: uhm, could you screen share with me?
[2015:05:16-14:47:31]  (Global) -> Daniel: The same thing
[2015:05:16-14:47:33]  (Global) -> [NG]xXMADEXx: oh
[2015:05:16-14:47:40]  (Global) -> Daniel: Yeah, call me
[2015:05:16-14:47:45]  (Global) -> [NG]xXMADEXx: but it says "Loading interface, please wait..." twice?
[2015:05:16-14:47:50]  (Global) -> Daniel: Yep
[2015:05:16-14:50:47]  (Global) -> [NG]xXMADEXx: what happens when you try to create a group
[2015:05:16-14:50:59]  (Global) -> Daniel: You see?
[2015:05:16-14:51:04]  (Global) -> Daniel: See my screen
[2015:05:16-14:51:05]  (Global) -> [NG]xXMADEXx: yeah i saw that
[2015:05:16-14:51:10]  (Global) -> [NG]xXMADEXx: but click "Createa a group"
[2015:05:16-14:51:12]  (Global) -> Daniel: see my screen npw
[2015:05:16-14:51:41]  (Global) -> [NG]xXMADEXx: hmm
[2015:05:16-14:51:41]  (Global) -> [NG]xXMADEXx: weird
[2015:05:16-14:52:31]  (Global) -> [NG]xXMADEXx: ?
[2015:05:16-14:52:44]  (Global) -> [NG]xXMADEXx: You will what?
[2015:05:16-14:52:52]  (Global) -> Daniel: eat
[2015:05:16-14:52:52]  (Global) -> [NG]xXMADEXx: oh eat
[2015:05:16-14:52:53]  (Global) -> [NG]xXMADEXx: lol
[2015:05:16-14:52:54]  (Global) -> [NG]xXMADEXx: ok
[2015:05:16-15:14:19]  (Global) -> [NG]xXMADEXx: back
[2015:05:16-15:14:35]  (Global) -> [NG]xXMADEXx: your group assigned?
[2015:05:16-15:14:46]  (Global) -> [NG]xXMADEXx: delete it and create another one
[2015:05:16-15:15:10]  (Global) -> [NG]xXMADEXx: yay
[2015:05:16-15:15:15]  (Global) -> [NG]xXMADEXx: i litterally did nothing
[2015:05:16-15:15:25]  (Global) -> [NG]xXMADEXx: my group -> members ->invite
[2015:05:16-15:16:25]  (Global) -> [NG]xXMADEXx: invite again
[2015:05:16-15:16:55]  (Global) -> [NG]xXMADEXx: nice
[2015:05:16-15:17:05]  (Global) -> [NG]xXMADEXx: did it say i joined?
[2015:05:16-15:17:12]  (Global) -> [NG]xXMADEXx: ._>
[2015:05:16-15:17:27]  (Global) -> [NG]xXMADEXx: lmao
[2015:05:16-15:19:45]  (Global) -> Daniel: did u see
[2015:05:16-15:19:49]  (Global) -> [NG]xXMADEXx: ?
[2015:05:16-15:19:49]  (Global) -> Daniel: You arent on the groups
[2015:05:16-15:19:50]  (Global) -> [NG]xXMADEXx: ye
[2015:05:16-15:19:52]  (Global) -> [NG]xXMADEXx: fixing it now
[2015:05:16-15:20:07]  (Global) -> [NG]xXMADEXx: xD
[2015:05:16-15:21:07]  (Global) -> [NG]xXMADEXx: invite me again
[2015:05:16-15:22:24]  (Global) -> [NG]xXMADEXx: invite again
[2015:05:16-15:22:37]  (Global) -> Daniel: Yes
[2015:05:16-15:22:52]  (Global) -> Daniel: You arent in the group members
[2015:05:16-15:22:57]  (Global) -> [NG]xXMADEXx: re-open the panel
[2015:05:16-15:23:10]  (Global) -> Daniel: Nice
[2015:05:16-15:23:25]  (Global) -> Daniel: You dont have mic?
[2015:05:16-15:23:28]  (Global) -> [NG]xXMADEXx: i got one
[2015:05:16-15:23:33]  (Global) -> Daniel: Put it
[2015:05:16-15:23:34]  (Global) -> Daniel: xD
[2015:05:16-15:23:37]  (Global) -> [NG]xXMADEXx: lmao
[2015:05:16-15:23:37]  (Global) -> [NG]xXMADEXx: ight
[2015:05:16-15:24:52]  (Global) -> Daniel: You 15?
[2015:05:16-15:24:53]  (Global) -> [NG]xXMADEXx: ye
[2015:05:16-15:25:34]  (Global) -> [NG]xXMADEXx: ?
[2015:05:16-15:25:46]  (Global) -> Daniel: what you will study on the universuty?
[2015:05:16-15:27:11]  (Global) -> Daniel: Keyboard
[2015:05:16-15:33:42]  (Global) -> [NG]xXMADEXx: If i speak lonley? xD
[2015:05:16-15:33:54]  (Global) -> Daniel: slowly
[2015:05:16-15:33:56]  (Global) -> [NG]xXMADEXx: oh xD
