This file was generated by Console at [2014:08:14-05:02:32]



[2014:08:14-05:02:32]  (Global) -> Ck'~Makaveli: wew
[2014:08:14-05:04:50]  (Global) -> Ck'~Makaveli: mine is the top 3% of my country
[2014:08:14-05:04:54]  (Global) -> [NG]xXMADEXx: D:
[2014:08:14-05:04:59]  (Global) -> [NG]xXMADEXx: staph
[2014:08:14-05:05:01]  (Global) -> [NG]xXMADEXx: im jelly
[2014:08:14-05:05:10]  (Global) -> Ck'~Makaveli: or 5 *
[2014:08:14-05:05:11]  (Global) -> Ck'~Makaveli: idk
[2014:08:14-05:05:32]  (Global) -> Ck'~Makaveli: I hate nabs who say i have shit net cause of higher ping
[2014:08:14-05:05:36]  (Global) -> Ck'~Makaveli: there so dumb
[2014:08:14-05:05:39]  (Global) -> [NG]xXMADEXx: lmao
[2014:08:14-05:05:46]  (Global) -> [NG]xXMADEXx: wanna see something cool?
[2014:08:14-05:05:49]  (Global) -> Ck'~Makaveli: ?
[2014:08:14-05:05:54]  (Global) -> Ck'~Makaveli: superman ?
[2014:08:14-05:05:56]  (Global) -> [NG]xXMADEXx: no
[2014:08:14-05:06:16]  (Global) -> Ck'~Makaveli: Seller :o
[2014:08:14-05:06:16]  (Global) -> [NG]xXMADEXx: buy LSD and weed
[2014:08:14-05:06:45]  (Global) -> Ck'~Makaveli: Now what
[2014:08:14-05:06:45]  (Global) -> [NG]xXMADEXx: did u buy?
[2014:08:14-05:06:48]  (Global) -> [NG]xXMADEXx: F6
[2014:08:14-05:07:10]  (Global) -> Ck'~Makaveli: Should have a smokin anim bruh
[2014:08:14-05:07:14]  (Global) -> [NG]xXMADEXx: eh
[2014:08:14-05:07:21]  (Global) -> Ck'~Makaveli: HHHHH COLT 45
[2014:08:14-05:07:32]  (Global) -> [NG]xXMADEXx: when ur done
[2014:08:14-05:07:33]  (Global) -> Ck'~Makaveli: Funny song
[2014:08:14-05:07:34]  (Global) -> [NG]xXMADEXx: take some LSd
[2014:08:14-05:07:46]  (Global) -> Ck'~Makaveli: LOL
[2014:08:14-05:07:50]  (Global) -> [NG]xXMADEXx: shoot them
[2014:08:14-05:07:50]  (Global) -> Ck'~Makaveli: Fucking cool
[2014:08:14-05:08:18]  (Global) -> Ck'~Makaveli: dats cool
[2014:08:14-05:08:20]  (Global) -> [NG]xXMADEXx: xd
[2014:08:14-05:08:27]  (Global) -> [NG]xXMADEXx: i been wanting to make that for a while
[2014:08:14-05:08:38]  (Global) -> Ck'~Makaveli: So will this be the location for it ?
[2014:08:14-05:08:40]  (Global) -> Ck'~Makaveli: to buy
[2014:08:14-05:08:47]  (Global) -> [NG]xXMADEXx: there in a lat of places
[2014:08:14-05:08:59]  (Global) -> Ck'~Makaveli: i got a idea for you
[2014:08:14-05:09:00]  (Global) -> [NG]xXMADEXx: maybe ill just build it into the phone
[2014:08:14-05:09:01]  (Global) -> [NG]xXMADEXx: idk
[2014:08:14-05:09:01]  (Global) -> [NG]xXMADEXx: ?
[2014:08:14-05:09:13]  (Global) -> Ck'~Makaveli: Be a farmer basicly but you grow weed then u sell it on
[2014:08:14-05:09:17]  (Global) -> [NG]xXMADEXx: ye
[2014:08:14-05:09:19]  (Global) -> [NG]xXMADEXx: i wanna do that
[2014:08:14-05:09:36]  (Global) -> Ck'~Makaveli: But to become a seller how do you get the drugs
[2014:08:14-05:09:38]  (Global) -> [NG]xXMADEXx: make a Drug Raid farm
[2014:08:14-05:09:52]  (Global) -> [NG]xXMADEXx: job *
[2014:08:14-05:09:57]  (Global) -> Ck'~Makaveli: ahh
[2014:08:14-05:10:15]  (Global) -> Ck'~Makaveli: This is gonna be cool
[2014:08:14-05:10:19]  (Global) -> [NG]xXMADEXx: ye
[2014:08:14-05:10:23]  (Global) -> Ck'~Makaveli: You gonn add food shops ?
[2014:08:14-05:10:27]  (Global) -> [NG]xXMADEXx: ye
[2014:08:14-05:10:31]  (Global) -> [NG]xXMADEXx: something like that
[2014:08:14-05:10:40]  (Global) -> [NG]xXMADEXx: VIP ftw
[2014:08:14-05:10:49]  (Global) -> Ck'~Makaveli: Bish gimme VIP
[2014:08:14-05:10:52]  (Global) -> [NG]xXMADEXx: c;
[2014:08:14-05:11:03]  (Global) -> Ck'~Makaveli: or i be a sick cunt and Ddos u
[2014:08:14-05:11:10]  (Global) -> [NG]xXMADEXx: bish
[2014:08:14-05:11:13]  (Global) -> [NG]xXMADEXx: u dunno how to ddos
[2014:08:14-05:11:13]  (Global) -> Ck'~Makaveli: xDDD
[2014:08:14-05:11:18]  (Global) -> [NG]xXMADEXx: but i got ur IP and an open port
[2014:08:14-05:11:22]  (Global) -> [NG]xXMADEXx: so i can kill ur net..
[2014:08:14-05:11:27]  (Global) -> Ck'~Makaveli: I know how to ddos
[2014:08:14-05:11:34]  (Global) -> [NG]xXMADEXx: me too :p
[2014:08:14-05:11:37]  (Global) -> Ck'~Makaveli: press FIRE TA BAZOOKA
[2014:08:14-05:11:41]  (Global) -> [NG]xXMADEXx: XD
[2014:08:14-05:11:52]  (Global) -> Ck'~Makaveli: Na i hate Ddos and hacking
[2014:08:14-05:11:55]  (Global) -> [NG]xXMADEXx: IKR
[2014:08:14-05:12:12]  (Global) -> Ck'~Makaveli: i know the old school way to control peoples pc
[2014:08:14-05:12:35]  (Global) -> [NG]xXMADEXx: follow
[2014:08:14-05:12:48]  (Global) -> Ck'~Makaveli: were u go
[2014:08:14-05:12:53]  (Global) -> [NG]xXMADEXx: docks
[2014:08:14-05:12:54]  (Global) -> Ck'~Makaveli: lol
[2014:08:14-05:12:59]  (Global) -> Ck'~Makaveli: ah
[2014:08:14-05:13:23]  (Global) -> Ck'~Makaveli: u gonna do like a performance shop ?
[2014:08:14-05:13:56]  (Global) -> [NG]xXMADEXx: just a mod shop for now
[2014:08:14-05:14:06]  (Global) -> Ck'~Makaveli: FTW
[2014:08:14-05:14:17]  (Global) -> Ck'~Makaveli: My calculator is pro
[2014:08:14-05:14:23]  (Global) -> [NG]xXMADEXx: lol
[2014:08:14-05:14:52]  (Global) -> Ck'~Makaveli: mech ?
[2014:08:14-05:15:09]  (Global) -> [NG]xXMADEXx: i forgot how this looks
[2014:08:14-05:15:14]  (Global) -> [NG]xXMADEXx: m -> click me
[2014:08:14-05:15:23]  (Global) -> [NG]xXMADEXx: bish
[2014:08:14-05:15:24]  (Global) -> [NG]xXMADEXx: staph
[2014:08:14-05:15:38]  (Global) -> Ck'~Makaveli: not even wanted 
[2014:08:14-05:15:39]  (Global) -> Ck'~Makaveli: xD
[2014:08:14-05:15:43]  (Global) -> [NG]xXMADEXx: lel
[2014:08:14-05:15:49]  (Global) -> [NG]xXMADEXx: wanted sys still in beta
[2014:08:14-05:16:01]  (Global) -> Ck'~Makaveli: xDD
[2014:08:14-05:16:49]  (Global) -> Ck'~Makaveli: aw i want superman
[2014:08:14-05:16:55]  (Global) -> [NG]xXMADEXx: well smd
[2014:08:14-05:17:09]  (Global) -> Ck'~Makaveli: if i do , do i get superman ?
[2014:08:14-05:17:13]  (Global) -> [NG]xXMADEXx: i should make the staff skin batman
[2014:08:14-05:17:17]  (Global) -> [NG]xXMADEXx: then make the bat bike thing
[2014:08:14-05:17:19]  (Global) -> [NG]xXMADEXx: ye
[2014:08:14-05:17:20]  (Global) -> Ck'~Makaveli: U should just have both
[2014:08:14-05:17:24]  (Global) -> Ck'~Makaveli: Ok pants down
[2014:08:14-05:17:32]  (Global) -> [NG]xXMADEXx: no u have to fly to my house
[2014:08:14-05:17:35]  (Global) -> [NG]xXMADEXx: and litterally smd
[2014:08:14-05:17:37]  (Global) -> Ck'~Makaveli: idk were u are
[2014:08:14-05:17:40]  (Global) -> [NG]xXMADEXx: and ill give u staf
[2014:08:14-05:17:42]  (Global) -> [NG]xXMADEXx: Boise idaho
[2014:08:14-05:17:47]  (Global) -> [NG]xXMADEXx: USA
[2014:08:14-05:17:54]  (Global) -> Ck'~Makaveli: would touch u and u would be like done
[2014:08:14-05:18:00]  (Global) -> [NG]xXMADEXx: prob
[2014:08:14-05:18:03]  (Global) -> Ck'~Makaveli: LOL
[2014:08:14-05:18:15]  (Global) -> Ck'~Makaveli: 2 sec stand
[2014:08:14-05:18:18]  (Global) -> [NG]xXMADEXx: ye
[2014:08:14-05:18:21]  (Global) -> Ck'~Makaveli: :o
[2014:08:14-05:18:21]  (Global) -> [NG]xXMADEXx: i last 3 mins jerkin
[2014:08:14-05:18:28]  (Global) -> Ck'~Makaveli: i used to
[2014:08:14-05:18:33]  (Global) -> Ck'~Makaveli: last like a min
[2014:08:14-05:18:38]  (Global) -> Ck'~Makaveli: now like a hour
[2014:08:14-05:18:44]  (Global) -> [NG]xXMADEXx: lel
[2014:08:14-05:18:53]  (Global) -> Ck'~Makaveli: gotta know how to control
[2014:08:14-05:19:07]  (Global) -> [NG]xXMADEXx: i needa finish the group sys
[2014:08:14-05:19:09]  (Global) -> [NG]xXMADEXx: so dnt talk to me
[2014:08:14-05:19:52]  (Global) -> Ck'~Makaveli: Ok i made my group ty
[2014:08:14-05:20:01]  (Global) -> [NG]xXMADEXx: (:
[2014:08:14-05:20:56]  (Global) -> [NG]xXMADEXx: lmao
[2014:08:14-05:21:05]  (Global) -> [NG]xXMADEXx: does the server allow u to have [NG]?
[2014:08:14-05:21:09]  (Global) -> [N.G]Fritz: Na
[2014:08:14-05:21:11]  (Global) -> [NG]xXMADEXx: good :D
[2014:08:14-05:21:20]  (Global) -> [N.G]Fritz: Yours is a tag not part of the nick right ?
[2014:08:14-05:21:25]  (Global) -> [NG]xXMADEXx: nope
[2014:08:14-05:21:28]  (Global) -> [NG]xXMADEXx: created by server
[2014:08:14-05:21:33]  (Global) -> [N.G]Fritz: ye dat
[2014:08:14-05:22:26]  (Global) -> [NG]xXMADEXx: ur laggy af
[2014:08:14-05:22:36]  (Global) -> [N.G]Fritz: weed
[2014:08:14-05:22:45]  (Global) -> [NG]xXMADEXx: oh
[2014:08:14-05:24:31]  (Global) -> [N.G]Fritz: Ima go watch Tv tell me when the forum is up
